datetime,quantity,price,name
2019-08-01 18:45:00,2,8.95,Pathia - Chicken Tikka
2019-08-01 18:45:00,1,5.95,COBRA ( LARGE )
2019-08-01 18:45:00,1,17.95,House white wine 75cl
2019-08-01 18:45:00,2,2.95,Pilau Rice
2019-08-01 18:41:00,1,4.95,Lamb Tikka
2019-08-01 18:41:00,1,0.5,Lime Pickle
2019-08-01 18:41:00,1,0.5,Onion Chutney
2019-08-01 18:41:00,1,2.95,Plain Rice
2019-08-01 18:41:00,1,12.95,King Prawn Shaslick
2019-08-01 18:41:00,2,5.95,COBRA ( LARGE )
2019-08-01 18:21:00,1,10.95,Chicken Tikka Biryani
2019-08-01 18:21:00,1,3.95,Stuffed Paratha
2019-08-01 18:21:00,1,3.95,Meat Samosa
2019-08-01 18:02:00,1,2.95,Plain Rice
2019-08-01 18:02:00,2,2.6,Plain Naan
2019-08-01 18:02:00,1,5.95,Mixed Vegetable Curry
2019-08-01 18:02:00,1,5.95,Aloo Gobi
2019-08-01 18:02:00,1,3.95,Curry Sauce
2019-08-01 18:02:00,1,0.5,Mango Chutney
2019-08-01 18:02:00,1,2.95,Raitha
2019-08-01 17:59:00,1,7.95,Madras - Chicken
2019-08-01 17:59:00,1,2.6,Plain Naan
2019-08-01 17:59:00,1,2.95,Bottle Diet Coke
2019-08-01 17:59:00,1,2.95,Plain Rice
2019-08-01 17:34:00,1,5.95,Bombay Aloo
2019-08-01 17:34:00,1,8.95,Chicken Tikka Jalfrezi
2019-08-01 17:34:00,1,3.95,Mushroom Rice
2019-08-01 17:34:00,2,0.8,Plain Papadum
2019-08-01 13:33:00,1,5.95,Cauliflower Bhajee
2019-08-01 13:33:00,1,8.95,Dhansak - Chicken
2019-08-01 13:33:00,2,5.95,Tarka Dall
2019-08-01 13:33:00,1,5.95,Saag Dall
2019-08-01 12:33:00,2,7.95,Vindaloo - Chicken
2019-08-01 12:33:00,1,3.95,Special Fried Rice
2019-08-01 12:33:00,1,2.6,Plain Naan
2019-08-01 12:33:00,1,5.95,Bombay Aloo
2019-07-31 21:10:00,1,9.95,Lamb Biryani
2019-07-31 21:10:00,1,9.95,Chicken Biryani
2019-07-31 21:10:00,1,5.95,Bombay Aloo
2019-07-31 21:10:00,1,2.95,Peshwari Naan
2019-07-31 20:35:00,1,8.95,Dhansak - Lamb
2019-07-31 20:35:00,1,8.95,Korma - Chicken
2019-07-31 20:35:00,1,2.6,Plain Naan
2019-07-31 20:35:00,1,2.95,Pilau Rice
2019-07-31 20:11:00,2,2.95,Pilau Rice
2019-07-31 20:11:00,2,8.95,Chicken Tikka Masala
2019-07-31 20:11:00,1,7.95,Madras - Chicken Tikka
2019-07-31 20:11:00,2,3.95,Onion Bhajee
2019-07-31 20:05:00,1,8.95,Chicken Tikka Jalfrezi
2019-07-31 20:05:00,1,2.95,Pilau Rice
2019-07-31 20:05:00,1,2.6,Plain Naan
2019-07-31 20:05:00,1,2.95,Green Salad
2019-07-31 19:54:00,1,4.95,Sheek Kebab
2019-07-31 19:54:00,1,9.95,Vegetable Biryani
2019-07-31 19:54:00,1,4.95,Aloo Chaat
2019-07-31 19:54:00,1,11.95,Madras - King Prawn
2019-07-31 19:54:00,2,2.95,Pilau Rice
2019-07-31 19:54:00,1,9.95,Butter Chicken
2019-07-31 19:54:00,1,0.8,Plain Papadum
2019-07-31 19:35:00,1,8.95,Chicken Tikka Masala
2019-07-31 19:35:00,5,2.6,Plain Naan
2019-07-31 19:35:00,1,8.95,Rogon - Chicken
2019-07-31 19:35:00,1,8.95,Chicken Tikka (Main)
2019-07-31 19:35:00,2,7.95,Madras - Chicken Tikka
2019-07-31 19:35:00,1,2.95,Garlic Naan
2019-07-31 19:35:00,1,5.95,Bombay Aloo
2019-07-31 19:35:00,1,5.95,Saag Aloo
2019-07-31 19:35:00,1,3.95,French Fries
2019-07-31 19:35:00,2,2.95,Pilau Rice
2019-07-31 19:35:00,3,3.95,Onion Bhajee
2019-07-31 19:31:00,4,0.8,Plain Papadum
2019-07-31 19:31:00,1,0.5,Mint Sauce
2019-07-31 19:31:00,1,9.95,Chicken Tikka Karahi
2019-07-31 19:31:00,1,5.95,Mushroom Bhajee
2019-07-31 19:31:00,2,2.95,Plain Rice
2019-07-31 19:17:00,1,3.95,Chicken Tikka
2019-07-31 19:17:00,1,5.95,Royal Paneer
2019-07-31 19:17:00,1,2.95,Garlic Naan
2019-07-31 19:17:00,1,2.95,Bottle Diet Coke
2019-07-31 19:05:00,1,8.95,Korma - Chicken
2019-07-31 19:05:00,1,2.95,Peshwari Naan
2019-07-31 19:05:00,1,3.95,Lemon Rice
2019-07-31 19:05:00,1,3.95,Mushroom Rice
2019-07-31 19:05:00,1,9.95,Lamb Sylhet
2019-07-31 19:02:00,2,0.8,Spicy Papadum
2019-07-31 19:02:00,1,0.5,Red Sauce
2019-07-31 19:02:00,1,2.95,Plain Rice
2019-07-31 19:02:00,1,8.95,Dupiaza - Chicken Tikka
2019-07-31 19:02:00,1,1.95,Chapati
2019-07-31 18:58:00,1,8.95,Saag - Chicken
2019-07-31 18:58:00,1,5.95,Saag Paneer
2019-07-31 18:58:00,1,3.95,Saag Rice
2019-07-31 18:50:00,1,4.95,Sheek Kebab
2019-07-31 18:50:00,3,0.8,Plain Papadum
2019-07-31 18:50:00,1,8.95,Lamb Tikka Masala
2019-07-31 18:50:00,1,2.95,Pilau Rice
2019-07-31 18:50:00,1,2.95,Keema Naan
2019-07-31 18:50:00,1,3.95,French Fries
2019-07-31 17:16:00,1,3.95,Keema Rice
2019-07-31 17:16:00,1,5.95,Bombay Aloo
2019-07-31 17:16:00,1,7.95,Madras - Lamb
2019-07-31 13:55:00,1,9.95,Lamb Biryani
2019-07-31 13:55:00,1,8.95,Lamb Tikka Chilli Masala
2019-07-31 13:55:00,1,2.95,Garlic Naan
2019-07-30 21:05:00,1,9.95,Paneer Tikka Sizzler
2019-07-30 21:05:00,1,3.95,Vindaloo Sauce
2019-07-30 21:05:00,1,2.95,Plain Rice
2019-07-30 21:05:00,1,3.95,French Fries
2019-07-30 20:10:00,1,9.95,Chicken Mysore
2019-07-30 20:10:00,3,2.95,Garlic Naan
2019-07-30 20:10:00,1,9.95,Lamb Chilli Garlic
2019-07-30 19:55:00,1,4.95,Aloo Chaat
2019-07-30 19:55:00,1,11.95,Tandoori Mixed Grill
2019-07-30 19:55:00,1,2.6,Tandoori Roti
2019-07-30 18:43:00,1,5.95,King Prawn Puree
2019-07-30 18:43:00,1,0.8,Plain Papadum
2019-07-30 18:43:00,1,9.95,Chicken Shashlick
2019-07-30 18:43:00,1,5.95,Bhindi Bhajee
2019-07-30 18:43:00,1,3.95,Dhansak Sauce
2019-07-30 18:43:00,2,3.95,Onion Bhajee
2019-07-30 18:43:00,1,5.95,Tarka Dall
2019-07-30 18:43:00,1,5.95,Saag Paneer
2019-07-30 18:43:00,1,5.95,Baingan Hari Mirch
2019-07-30 18:38:00,1,7.95,Madras - Chicken
2019-07-30 18:38:00,1,3.95,Lemon Rice
2019-07-30 18:38:00,1,0.8,Spicy Papadum
2019-07-30 18:38:00,1,3.95,French Fries
2019-07-30 18:33:00,1,0.5,Mint Sauce
2019-07-30 18:33:00,1,0.5,Lime Pickle
2019-07-30 18:01:00,2,0.5,Mango Chutney
2019-07-30 17:35:00,1,0.5,Red Sauce
2019-07-30 17:00:00,1,0.5,Onion Chutney
2019-07-30 17:00:00,1,0.5,Red Sauce
2019-07-29 22:21:00,1,0.5,Red Sauce
2019-07-29 20:03:00,1,0.5,Mango Chutney
2019-07-29 17:20:00,1,0.5,Mint Sauce
2019-07-28 20:00:00,1,0.5,Mango Chutney
2019-07-28 20:00:00,1,0.5,Mint Sauce
2019-07-28 20:00:00,1,0.5,Onion Chutney
2019-07-28 19:29:00,1,0.5,Onion Chutney
2019-07-28 19:29:00,1,0.5,Mango Chutney
2019-07-28 19:29:00,1,0.5,Mint Sauce
2019-07-28 17:58:00,1,0.5,Mango Chutney
2019-07-28 17:58:00,1,0.5,Mint Sauce
2019-07-28 17:41:00,1,0.5,Mango Chutney
2019-07-28 17:10:00,1,0.5,Mango Chutney
2019-07-27 20:28:00,1,0.5,Mango Chutney
2019-07-27 20:28:00,1,0.5,Mint Sauce
2019-07-27 19:49:00,2,0.5,Mango Chutney
2019-07-27 19:49:00,1,0.5,Lime Pickle
2019-07-27 19:36:00,1,0.5,Mango Chutney
2019-07-27 19:35:00,1,0.5,Mint Sauce
2019-07-27 19:35:00,1,0.5,Red Sauce
2019-07-27 19:35:00,1,0.5,Mint Sauce
2019-07-27 19:35:00,1,0.5,Mango Chutney
2019-07-27 19:23:00,2,0.5,Mint Sauce
2019-07-27 18:56:00,1,0.5,Mango Chutney
2019-07-27 18:56:00,1,0.5,Mint Sauce
2019-07-27 18:18:00,1,0.5,Mango Chutney
2019-07-27 18:11:00,1,0.5,Mango Chutney
2019-07-27 18:01:00,1,0.5,Mint Sauce
2019-07-27 18:01:00,1,0.5,Mango Chutney
2019-07-27 16:55:00,2,0.5,Onion Chutney
2019-07-27 16:55:00,2,0.5,Red Sauce
2019-07-27 16:55:00,2,0.5,Mint Sauce
2019-07-27 16:55:00,1,0.5,Mango Chutney
2019-07-27 16:55:00,1,0.5,Lime Pickle
2019-07-26 20:42:00,1,0.5,Mint Sauce
2019-07-26 19:51:00,1,0.5,Mango Chutney
2019-07-26 19:42:00,1,0.5,Mango Chutney
2019-07-26 19:42:00,1,0.5,Red Sauce
2019-07-26 19:42:00,1,0.5,Red Sauce
2019-07-26 19:42:00,1,0.5,Mango Chutney
2019-07-26 19:42:00,1,0.5,Mint Sauce
2019-07-26 19:33:00,1,0.5,Red Sauce
2019-07-26 19:33:00,1,0.5,Mango Chutney
2019-07-26 19:33:00,1,0.5,Mint Sauce
2019-07-26 19:12:00,1,0.5,Mint Sauce
2019-07-26 19:12:00,1,0.5,Red Sauce
2019-07-26 18:32:00,1,0.5,Mango Chutney
2019-07-26 18:14:00,1,0.5,Mango Chutney
2019-07-26 18:14:00,1,0.5,Lime Pickle
2019-07-26 17:56:00,1,0.5,Mango Chutney
2019-07-26 17:46:00,2,0.5,Mint Sauce
2019-07-26 17:46:00,1,0.5,Onion Chutney
2019-07-26 17:46:00,1,0.5,Red Sauce
2019-07-26 17:46:00,1,0.5,Lime Pickle
2019-07-25 19:51:00,1,0.5,Onion Chutney
2019-07-25 19:51:00,1,0.5,Red Sauce
2019-07-25 19:50:00,2,0.5,Mango Chutney
2019-07-25 19:11:00,1,0.5,Mint Sauce
2019-07-25 19:11:00,1,0.5,Mango Chutney
2019-07-25 17:23:00,1,0.5,Lime Pickle
2019-07-24 23:08:00,1,0.5,Mango Chutney
2019-07-24 23:08:00,1,0.5,Mint Sauce
2019-07-24 23:08:00,1,0.5,Onion Chutney
2019-07-23 21:30:00,1,0.5,Mint Sauce
2019-07-23 19:54:00,2,0.5,Mango Chutney
2019-07-23 19:26:00,1,0.5,Red Sauce
2019-07-23 19:26:00,1,0.5,Mint Sauce
2019-07-22 20:14:00,1,0.5,Onion Chutney
2019-07-22 20:14:00,1,0.5,Mint Sauce
2019-07-22 20:14:00,1,0.5,Red Sauce
2019-07-21 18:55:00,2,0.5,Mango Chutney
2019-07-21 18:55:00,1,0.5,Mint Sauce
2019-07-21 18:47:00,1,0.5,Mango Chutney
2019-07-21 17:26:00,1,0.5,Onion Chutney
2019-07-21 14:36:00,1,0.5,Lime Pickle
2019-07-20 21:17:00,1,0.5,Red Sauce
2019-07-20 20:15:00,1,0.5,Mango Chutney
2019-07-20 19:47:00,1,0.5,Mango Chutney
2019-07-20 19:47:00,1,0.5,Mint Sauce
2019-07-20 19:04:00,1,0.5,Mint Sauce
2019-07-20 19:04:00,1,0.5,Onion Chutney
2019-07-20 19:04:00,1,0.5,Mint Sauce
2019-07-20 19:04:00,1,0.5,Onion Chutney
2019-07-20 18:58:00,1,0.5,Mango Chutney
2019-07-20 18:45:00,2,0.5,Mango Chutney
2019-07-20 18:41:00,1,0.5,Mango Chutney
2019-07-20 18:41:00,1,0.5,Mint Sauce
2019-07-20 18:41:00,1,0.5,Red Sauce
2019-07-20 18:12:00,1,0.5,Mint Sauce
2019-07-20 18:08:00,1,0.5,Mint Sauce
2019-07-20 16:55:00,1,0.5,Mango Chutney
2019-07-19 20:15:00,1,0.5,Mint Sauce
2019-07-19 19:44:00,1,0.5,Mango Chutney
2019-07-19 19:44:00,4,0.5,Onion Chutney
2019-07-19 19:44:00,2,0.5,Red Sauce
2019-07-19 19:29:00,1,0.5,Mango Chutney
2019-07-19 19:12:00,1,0.5,Mango Chutney
2019-07-19 19:12:00,1,0.5,Lime Pickle
